Frequency (Hz)	Level (dB)
43.066406	-72.448936
86.132812	-70.668671
129.199219	-68.116142
172.265625	-64.991905
215.332031	-61.318863
258.398438	-56.985645
301.464844	-51.743515
344.531250	-45.106209
387.597656	-35.976437
430.664062	-20.534233
473.730469	-4.070470
516.796875	-2.797096
559.863281	-14.630273
602.929688	-33.436916
645.996094	-43.437607
689.062500	-50.511909
732.128906	-56.028076
775.195312	-60.561626
818.261719	-64.414825
861.328125	-67.767700
904.394531	-70.736336
947.460938	-73.400551
990.527344	-75.817207
1033.593750	-78.028656
1076.660156	-80.067039
1119.726562	-81.957413
1162.792969	-83.719383
1205.859375	-85.370628
1248.925781	-86.923088
1291.992188	-88.387405
1335.058594	-89.773911
1378.125000	-91.089828
1421.191406	-92.342514
1464.257812	-93.536591
1507.324219	-94.678398
1550.390625	-95.770859
1593.457031	-96.820587
1636.523438	-97.826653
1679.589844	-98.797012
1722.656250	-99.731125
1765.722656	-100.631248
1808.789062	-101.502235
1851.855469	-102.342995
1894.921875	-103.156311
1937.988281	-103.946823
1981.054688	-104.713585
2024.121094	-105.458252
2067.187500	-106.176025
2110.253906	-106.882507
2153.320312	-107.565720
2196.386719	-108.228485
2239.453125	-108.879555
2282.519531	-109.507332
2325.585938	-110.124649
2368.652344	-110.727928
2411.718750	-111.314919
2454.785156	-111.893631
2497.851562	-112.450569
2540.917969	-112.992844
2583.984375	-113.540741
2627.050781	-114.073036
2670.117188	-114.579147
2713.183594	-115.082863
2756.250000	-115.584641
2799.316406	-116.069641
2842.382812	-116.548744
2885.449219	-117.013542
2928.515625	-117.473648
2971.582031	-117.918869
3014.648438	-118.372810
3057.714844	-118.804306
3100.781250	-119.238411
3143.847656	-119.657242
3186.914062	-120.067688
3229.980469	-120.444778
3273.046875	-120.936676
3316.113281	-121.269188
3359.179688	-121.653709
3402.246094	-122.055534
3445.312500	-122.434792
3488.378906	-122.787079
3531.445312	-123.169937
3574.511719	-123.534584
3617.578125	-123.880165
3660.644531	-124.239677
3703.710938	-124.584099
